contest_id,index,cache_relpath,cache_exists,stored_byte_size,stored_byte_sha256,parse_status,parse_error
12,B,12_B.html,1,62033,695fa0bc3f9271485f9acc0f4c88e5033becb1e35b99d2e634487ed3fd9f2e4f,parsed,
12,C,12_C.html,1,62675,c59c37f7025e1fa6996ba33f8e479b892d17f02c9df97167e018eb5e76f4ccbf,parsed,
12,D,12_D.html,1,62319,7be50a2deaa2b305662664ab7423fff59f260f0d8ee4dd6d0ef791f722298ae7,parsed,
12,E,12_E.html,1,61701,ae07ec0e96658cacc5b4b79755042d93b0511e4139e0e2debad78ce18665b30b,parsed,
13,A,13_A.html,1,62407,0628998af508aa8e7acf01d9acd77b9a13bf1d4928dd70b4595fc1367c994d9f,parsed,
13,B,13_B.html,1,62377,236a9b63ee0f974cc670a306da5179bd7f544f37d812458136b287c44d14bb87,parsed,
13,C,13_C.html,1,62568,cea639f427392caeeeb16217d22028f3753c7166c3f6cb7075e17a40f6fe4a74,parsed,
13,D,13_D.html,1,62510,4140b46881b17b85d05dc4bd5e5b469dba1bf8b001034b68311d009d4d247012,parsed,
13,E,13_E.html,1,64154,63f9c1d8103ab9cd6af5a2c027006592d59dc3090c0e8b1b2aad2ffb0aab8209,parsed,
14,A,14_A.html,1,62803,fe8b16f820f877c65ca66b7a879dd95726796e0a0b011a239002f3f5c6280544,parsed,
14,B,14_B.html,1,63043,5936fca44d2247e1c11855d076dbff549b0ace9385ff4e6cc713f18dc6834fbe,parsed,
14,C,14_C.html,1,63672,54dee9cfaef8c13db4bd8e59c7aac1ea31335d4ce50f003afe4af8415a6e65d2,parsed,
14,D,14_D.html,1,64198,6f70d469b918ac45b425de0a7d0f7a8d91af5734045690e46bda7b813c817e12,parsed,
14,E,14_E.html,1,64198,a456c60d514ecad549e78f78395f39de563c1b6f288d4fd987a0222df1bddde5,parsed,
15,A,15_A.html,1,64370,e3e8ef1133826501ca4f9a0b295461706f805202a9b518747c521429b34c464e,parsed,
15,B,15_B.html,1,65240,99da0c7d462b48d2a9b385f03253982d84f212ae29d712af47c3c1bbcea184bf,parsed,
15,C,15_C.html,1,64212,afb95e096c5176996b042c4945e57d979b0c7591ee6ac9a6b72e92102c77ec3c,parsed,
15,D,15_D.html,1,65114,fe6be84b8938244e0f00f2683fa7b0c76beaa59b548b52052d1c96e029b6519b,parsed,
15,E,15_E.html,1,63926,67560ad0e27958b21fd5d5648b93f5459b811137e5a9d2c5634dfc35b022dd40,parsed,
16,A,16_A.html,1,62564,ca315f3bd8dbea3bbae5c90039a7b5a5922dacf62729567953e285673caeb263,parsed,
16,B,16_B.html,1,63283,39f05da0e252aa05960e49aa0b0bea874a9def8917465f6ef9f03c2fb7b87f5f,parsed,
16,C,16_C.html,1,62049,6267c34647ab60841b8f284a12694648b5020323f964715270a81fe1cdaca420,parsed,
16,D,16_D.html,1,63904,61c7afd206190982bfffb4166e66d42b3ac18f37cc447a205d43a9b29fbb7796,parsed,
16,E,16_E.html,1,63785,fb7168a8da50c18692f85d7c026b4a0b84a093e79d503b346a4b5e1d122fb7dc,parsed,
17,A,17_A.html,1,63768,90d6ec32a76e3859a8bab1454e75ba7e8bf055b6e1dbf7f8d541d3062d0e7d72,parsed,
17,B,17_B.html,1,65330,b6f0da1131f9febf68190ac0ffdc77fd9f386e72a79f1313fa62768d83d2bfa9,parsed,
17,C,17_C.html,1,65313,83cf854f2d834ca87366627bf4c2d5947e89375a4885e265669bfde737cc6d81,parsed,
17,D,17_D.html,1,63040,72c6e29f78c7232c8e67822329c8b0350a7cd1842b854d681efd057a61bdd482,parsed,
17,E,17_E.html,1,65012,3a448bf9efcc58dbc2c2e8d9edd35964b2094d32947a21d483c0f6ff2d266016,parsed,
18,A,18_A.html,1,63085,a9a8a69ebee9be4ce383cca3992e6f542ad7c47a3bb996e820cde3ccb3c1523a,parsed,
18,B,18_B.html,1,62941,033263097dfac9c32b8120a78f505d22268d27a716600e508f723ec55b6694f8,parsed,
18,C,18_C.html,1,62654,b3df0e243a27ee1fb71b0594c7e07244afbbec62af9d8e6c5b0a85c8df07261f,parsed,
18,D,18_D.html,1,63889,80e247db55eae1d5cd82c6dec9b920414e66674ef746794d55b7b52383c9321c,parsed,
18,E,18_E.html,1,63066,d57419e96eb2ae5c835f5ac1150212def3e19618cd636467897525074555ca6b,parsed,
20,A,20_A.html,1,60649,38a36adebc6bbd66acfa9ce94d0b329cd973cc0748f61e09f5aac79be79f3ba2,parsed,
20,B,20_B.html,1,59740,5448df45901d9ddc6f361b90ed8fddd50c80c81a282e94720583475cb60e6d6c,parsed,
20,C,20_C.html,1,61055,97148becd5e670761beb96505910ea72fbe7c108bf2d6f303c48ef57616899c0,parsed,
19,A,19_A.html,1,63959,70892571c904abc7989a1a6bb3972bc083f6fb7c31ae749a50f78b3d8a05bc45,parsed,
19,B,19_B.html,1,62153,7153a9c45e9976d75db2108a2fc0fd64b76b666c954773e3a68978af4f8e7a5b,parsed,
19,C,19_C.html,1,63238,886e5019679e8c3c6afba6a9a03f152d73bd5375925ce8365d07d23c587058a8,parsed,
19,D,19_D.html,1,64268,362815f3de134df038e938501e969b914dfd970d2f3201bf35561e809e179d9c,parsed,
19,E,19_E.html,1,63640,efac9458749009af34ed41bcde6f1546a1d872f7be48d1f94ba0e419c4aef254,parsed,
21,A,21_A.html,1,62802,af85b663c26e5c358d8da70f1c3f40abc9f181565699ade559128ab8b97b4451,parsed,
21,B,21_B.html,1,61555,b084118cdee61f1d9c22e447852568103abb73185fa0bea7c46d6a9192085dc4,parsed,
21,C,21_C.html,1,61517,1bd3ac4140803ec1b1719f9f8fd051d615a0c63b5b066f87c803bed8d1340ad5,parsed,
21,D,21_D.html,1,62277,3ad14ec5b85c08f444357b8429ed555ff59d5163a0f021bb8f13c9704dd35cd5,parsed,
22,A,22_A.html,1,61870,e496d3adf6be901a091a748779206eed9e40a842bba653f7477b49a33e4fb443,parsed,
22,B,22_B.html,1,62675,ae81390059ac95d66d34d65971ac74bd72554e96e70c56e806692f2d295c41ed,parsed,
22,C,22_C.html,1,62300,c4ba5f8a962a8aa5171ac9ad5806a6f632423fe929c4a96ed0ed01a9e6247a73,parsed,
22,D,22_D.html,1,61771,52030e647bd2e401d4db80c0187f530f96eaff358f649bc2a86d136aab8267d7,parsed,
22,E,22_E.html,1,63755,1076e9e69f5fdc18e30aab1d6623c386cbe85f290a9229f9af993375fc55e1e4,parsed,
23,A,23_A.html,1,61826,a7ad89c2ce1e0d8a2c3f014d16caa24bd6db1d27fcf56ff69880eb968e7a5c79,parsed,
23,B,23_B.html,1,62355,0f0dec14539409eaea434c98564751b50dcc033db43bdba955d65d3885de23eb,parsed,
23,C,23_C.html,1,62235,648240e395e09fb01fa75fc2a0331b586ea7021b53cc093de417ac31651e6d2d,parsed,
